CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO,
ES0031405462253006LB0F;14/05/2022;24;0,089;;;R
ES0031405462253006LB0F;15/05/2022;1;0,076;;;R
ES0031405462253006LB0F;15/05/2022;2;0,082;;;R
ES0031405462253006LB0F;15/05/2022;3;0,052;;;R
ES0031405462253006LB0F;15/05/2022;4;0,133;;;R
ES0031405462253006LB0F;15/05/2022;5;0,108;;;R
ES0031405462253006LB0F;15/05/2022;6;0,058;;;R
ES0031405462253006LB0F;15/05/2022;7;0,078;;;R
ES0031405462253006LB0F;15/05/2022;8;0,048;;;R
ES0031405462253006LB0F;15/05/2022;9;0,077;;;R
ES0031405462253006LB0F;15/05/2022;10;0,091;;;R
ES0031405462253006LB0F;15/05/2022;11;0,234;;;R
ES0031405462253006LB0F;15/05/2022;12;0,156;;;R
ES0031405462253006LB0F;15/05/2022;13;0,08;;;R
ES0031405462253006LB0F;15/05/2022;14;0,091;;;R
ES0031405462253006LB0F;15/05/2022;15;0,074;;;R
ES0031405462253006LB0F;15/05/2022;16;0,055;;;R
ES0031405462253006LB0F;15/05/2022;17;0,179;;;R
ES0031405462253006LB0F;15/05/2022;18;0,057;;;R
ES0031405462253006LB0F;15/05/2022;19;0,064;;;R
ES0031405462253006LB0F;15/05/2022;20;0,118;;;R
ES0031405462253006LB0F;15/05/2022;21;0,099;;;R
ES0031405462253006LB0F;15/05/2022;22;1,109;;;R
ES0031405462253006LB0F;15/05/2022;23;0,39;;;R
ES0031405462253006LB0F;15/05/2022;24;0,121;;;R
ES0031405462253006LB0F;16/05/2022;1;0,126;;;R
ES0031405462253006LB0F;16/05/2022;2;0,142;;;R
ES0031405462253006LB0F;16/05/2022;3;0,101;;;R
ES0031405462253006LB0F;16/05/2022;4;0,081;;;R
ES0031405462253006LB0F;16/05/2022;5;0,065;;;R
ES0031405462253006LB0F;16/05/2022;6;0,068;;;R
ES0031405462253006LB0F;16/05/2022;7;0,07;;;R
ES0031405462253006LB0F;16/05/2022;8;0,048;;;R
ES0031405462253006LB0F;16/05/2022;9;0,152;;;R
ES0031405462253006LB0F;16/05/2022;10;0,479;;;R
ES0031405462253006LB0F;16/05/2022;11;0,293;;;R
ES0031405462253006LB0F;16/05/2022;12;0,21;;;R
ES0031405462253006LB0F;16/05/2022;13;0,103;;;R
ES0031405462253006LB0F;16/05/2022;14;0,387;;;R
ES0031405462253006LB0F;16/05/2022;15;0,847;;;R
ES0031405462253006LB0F;16/05/2022;16;0,122;;;R
ES0031405462253006LB0F;16/05/2022;17;0,121;;;R
ES0031405462253006LB0F;16/05/2022;18;0,102;;;R
ES0031405462253006LB0F;16/05/2022;19;0,092;;;R
ES0031405462253006LB0F;16/05/2022;20;0,107;;;R
ES0031405462253006LB0F;16/05/2022;21;0,065;;;R
ES0031405462253006LB0F;16/05/2022;22;0,057;;;R
ES0031405462253006LB0F;16/05/2022;23;0,102;;;R
ES0031405462253006LB0F;16/05/2022;24;0,096;;;R
ES0031405462253006LB0F;17/05/2022;1;0,121;;;R
ES0031405462253006LB0F;17/05/2022;2;0,124;;;R
ES0031405462253006LB0F;17/05/2022;3;0,064;;;R
ES0031405462253006LB0F;17/05/2022;4;0,084;;;R
ES0031405462253006LB0F;17/05/2022;5;0,064;;;R
ES0031405462253006LB0F;17/05/2022;6;0,048;;;R
ES0031405462253006LB0F;17/05/2022;7;0,088;;;R
ES0031405462253006LB0F;17/05/2022;8;0,155;;;R
ES0031405462253006LB0F;17/05/2022;9;0,066;;;R
ES0031405462253006LB0F;17/05/2022;10;0,077;;;R
ES0031405462253006LB0F;17/05/2022;11;0,049;;;R
ES0031405462253006LB0F;17/05/2022;12;0,082;;;R
ES0031405462253006LB0F;17/05/2022;13;0,048;;;R
ES0031405462253006LB0F;17/05/2022;14;0,069;;;R
ES0031405462253006LB0F;17/05/2022;15;0,075;;;R
ES0031405462253006LB0F;17/05/2022;16;0,041;;;R
ES0031405462253006LB0F;17/05/2022;17;0,087;;;R
ES0031405462253006LB0F;17/05/2022;18;0,055;;;R
ES0031405462253006LB0F;17/05/2022;19;0,084;;;R
ES0031405462253006LB0F;17/05/2022;20;0,408;;;R
ES0031405462253006LB0F;17/05/2022;21;0,683;;;R
ES0031405462253006LB0F;17/05/2022;22;0,364;;;R
ES0031405462253006LB0F;17/05/2022;23;0,14;;;R
ES0031405462253006LB0F;17/05/2022;24;0,115;;;R
ES0031405462253006LB0F;18/05/2022;1;0,107;;;R
ES0031405462253006LB0F;18/05/2022;2;0,09;;;R
ES0031405462253006LB0F;18/05/2022;3;0,056;;;R
ES0031405462253006LB0F;18/05/2022;4;0,054;;;R
ES0031405462253006LB0F;18/05/2022;5;0,085;;;R
ES0031405462253006LB0F;18/05/2022;6;0,064;;;R
ES0031405462253006LB0F;18/05/2022;7;0,061;;;R
ES0031405462253006LB0F;18/05/2022;8;0,151;;;R
ES0031405462253006LB0F;18/05/2022;9;0,04;;;R
ES0031405462253006LB0F;18/05/2022;10;0,096;;;R
ES0031405462253006LB0F;18/05/2022;11;0,045;;;R
ES0031405462253006LB0F;18/05/2022;12;0,064;;;R
ES0031405462253006LB0F;18/05/2022;13;0,08;;;R
ES0031405462253006LB0F;18/05/2022;14;0,039;;;R
ES0031405462253006LB0F;18/05/2022;15;0,09;;;R
ES0031405462253006LB0F;18/05/2022;16;0,054;;;R
ES0031405462253006LB0F;18/05/2022;17;0,061;;;R
ES0031405462253006LB0F;18/05/2022;18;0,084;;;R
ES0031405462253006LB0F;18/05/2022;19;0,063;;;R
ES0031405462253006LB0F;18/05/2022;20;0,099;;;R
ES0031405462253006LB0F;18/05/2022;21;0,038;;;R
ES0031405462253006LB0F;18/05/2022;22;0,104;;;R
ES0031405462253006LB0F;18/05/2022;23;0,04;;;R
ES0031405462253006LB0F;18/05/2022;24;0,509;;;R
ES0031405462253006LB0F;19/05/2022;1;0,156;;;R
ES0031405462253006LB0F;19/05/2022;2;0,105;;;R
ES0031405462253006LB0F;19/05/2022;3;0,144;;;R
ES0031405462253006LB0F;19/05/2022;4;0,051;;;R
ES0031405462253006LB0F;19/05/2022;5;0,106;;;R
ES0031405462253006LB0F;19/05/2022;6;0,047;;;R
ES0031405462253006LB0F;19/05/2022;7;0,093;;;R
ES0031405462253006LB0F;19/05/2022;8;0,162;;;R
ES0031405462253006LB0F;19/05/2022;9;0,076;;;R
ES0031405462253006LB0F;19/05/2022;10;0,07;;;R
ES0031405462253006LB0F;19/05/2022;11;0,043;;;R
ES0031405462253006LB0F;19/05/2022;12;0,105;;;R
ES0031405462253006LB0F;19/05/2022;13;0,04;;;R
ES0031405462253006LB0F;19/05/2022;14;0,085;;;R
ES0031405462253006LB0F;19/05/2022;15;0,067;;;R
ES0031405462253006LB0F;19/05/2022;16;0,056;;;R
ES0031405462253006LB0F;19/05/2022;17;0,092;;;R
ES0031405462253006LB0F;19/05/2022;18;0,043;;;R
ES0031405462253006LB0F;19/05/2022;19;0,093;;;R
ES0031405462253006LB0F;19/05/2022;20;0,084;;;R
ES0031405462253006LB0F;19/05/2022;21;0,051;;;R
